Time	pre	pre	tem	tem
19841029/1200	0.1	2	-2.3	-2.1
19841030/1200	1.2	4.2	-0.1	0.3
19841031/1200	0.2	0.8	-0.3	-2.3
19841101/1200	0.1	0	0.1	-2.4
19841102/1200	0	0	0.9	0.8
19841103/1200	0	0	-1.9	-3.8
19841104/1200	0	0	-2.8	-3.1
19841105/1200	0	0	-4.7	-2.8
19841106/1200	0	0	-0.9	-1.2
19841107/1200	5.2	0	-0.6	-0.5
19841108/1200	0.1	0.3	-5	-6.4
19841109/1200	0.1	0	-7.1	-4.5
19841110/1200	3.2	2.5	-0.3	-4.9
19841111/1200	1	0	-2.7	-6.3
19841112/1200	1	4.4	0.3	0.6
19841113/1200	1.5	3	-3	-1.6
19841114/1200	0.2	0.2	-4	-3.3
19841115/1200	0.3	0.9	-3.8	-2.7
19841116/1200	0.2	0	-2.2	-1.2
19841117/1200	0.5	4.5	-8.6	-10.2
19841118/1200	0	2	-11.1	-10.7
19841119/1200	0.4	0.2	-11.4	-10
19841120/1200	0.3	0	-14.5	-17.4
19841121/1200	0.2	0	-18.5	-19.2
19841122/1200	0	0	-15	-14.7
19841123/1200	0	0	-8.3	-7.9
19841124/1200	0	0	-5.6	-5.6
19841125/1200	0	0	-3.5	-2.2
19841126/1200	0	0	-2	-1.4
19841127/1200	0	3	0.1	0.2
19841128/1200	0	3.6	-1.1	0
19841129/1200	0	0	-0.8	-1.1
19841130/1200	0.2	0	-1.2	0
19841201/1200	0	0	-2.4	-4.9
19841202/1200	0.3	0	-2.7	-2.1
19841203/1200	0.2	0	-5	-4.6
19841204/1200	0.1	0	-9.1	-7.2
19841205/1200	0.1	0	-7.8	-4.4
19841206/1200	0.1	0.1	-3.7	-2.5
19841207/1200	0.8	0	-4.3	-1.7
19841208/1200	0.1	0	-0.2	0
19841209/1200	2.5	0.1	-4.4	-6
19841210/1200	0	0	-8.4	-3.1
19841211/1200	0	4	-6.1	-7.1
19841212/1200	1.6	0.1	-3.7	-6.6
19841213/1200	9.1	24.7	-5	-7.8
19841214/1200	0.2	0.3	-4.9	-4.4
19841215/1200	0.7	5.2	-0.7	-3.1
19841216/1200	0	0.7	5	4.2
19841217/1200	0.5	1.3	3.6	3
19841218/1200	0	2.6	0.8	1.7
19841219/1200	0	2.5	-1.8	-1.2
19841220/1200	0.5	1.6	2.1	0.9
19841221/1200	0.1	5.9	0	-0.5
19841222/1200	0	0	1.7	-0.7
19841223/1200	0	0	0.3	0.3
19841224/1200	0	0	-0.6	-1
19841225/1200	0.2	0	-0.2	-1.9
19841226/1200	0.1	0	-3.4	-5.4
19841227/1200	0	0	-11.3	-11.5
19841228/1200	0.8	2.5	-5.4	-2.7
19841229/1200	1.5	2.1	-0.8	1.8
19841230/1200	0	4.8	-0.2	-0.6
19841231/1200	6.1	4.2	-3.9	-7.1
19850101/1200	0	0	-9.3	-6.3
19850102/1200	0	0	-5.5	-4.4
19850103/1200	0	0	-2.2	-2.4
19850104/1200	0.3	0.4	-1	-2.1
19850105/1200	6	9.2	-11.2	-11.8
19850106/1200	0.1	0	-10.9	-9.9
19850107/1200	0	0.2	-4.2	-3.5
19850108/1200	4	4.5	-7.1	-9.3
19850109/1200	0.3	0	-16.4	-17.6
19850110/1200	0	0	-20.2	-22.9
19850111/1200	0.1	0	-8.8	-8.1
19850112/1200	3.5	16	-3.3	-6.4
19850113/1200	0.2	0.1	-3.8	-4.2
19850114/1200	6.8	7	-8.5	-10.2
19850115/1200	0	0.1	-12.6	-12.6
19850116/1200	0	0	-17.1	-13.9
19850117/1200	0	0	-14.8	-12.7
19850118/1200	0	0	-13.5	-11.7
19850119/1200	0.2	0	-18	-14.6
19850120/1200	0	0	-16.5	-13.5
19850121/1200	0	0	-14.3	-15.2
19850122/1200	0	0	-17.1	-14.1
19850123/1200	0	0	-15.4	-12.6
19850124/1200	0.4	0.9	-17.8	-10.7
19850125/1200	0.1	0.4	-21.5	-16.7
19850126/1200	0	0	-20.7	-16
19850127/1200	0.2	0	-18.1	-12.3
19850128/1200	1	0	-19	-15.7
19850129/1200	0.1	0	-15.9	-16.4
19850130/1200	0	0	-14.3	-12.4
19850131/1200	0	0	-13.2	-12
19850201/1200	0.2	0	-14.9	-12.1
19850202/1200	0.7	2.5	-9.9	-5.5
19850203/1200	0	0	-9.7	-6.6
19850204/1200	0	0	-11.3	-9.4
19850205/1200	0	0	-12.4	-12.2
19850206/1200	0	0	-14.9	-11.1
19850207/1200	0	0	-12.2	-8.6
19850208/1200	0	0	-6.2	-6.1
19850209/1200	0.5	0.4	-7.8	-6
19850210/1200	1.4	1.1	-5.3	-4.1
19850211/1200	0	0	-9.4	-8.9
19850212/1200	0	0	-14.2	-13.3
19850213/1200	0	0	-17.4	-16.3
19850214/1200	0	0	-17.9	-17.1
19850215/1200	0	0	-20.6	-16.2
19850216/1200	0	0	-21.7	-20.4
19850217/1200	0	0	-19.8	-14.7
19850218/1200	2.5	2.5	-4.6	-4.4
19850219/1200	5	8	-9.3	-8.8
19850220/1200	0.1	0	-0.2	-0.8
19850221/1200	1.2	8.3	-3.1	-3.4
19850222/1200	12.5	21.9	-2.7	-6.4
19850223/1200	1.3	0.5	-2.8	-4.1
19850224/1200	0.3	2	-3.3	-2.8
19850225/1200	0.3	0.1	-4.5	-5.5
19850226/1200	0.9	1.5	-6.6	-7.4
19850227/1200	0.3	0.3	-4.9	-4.2
19850228/1200	0.1	0	0.7	1
19850301/1200	0.8	7.6	1.5	2.3
19850302/1200	0	0	0.7	0.7
19850303/1200	0	0	-3.9	-3.3
19850304/1200	0	0	-7.6	-5.6
19850305/1200	0.6	3.7	-3	-2.6
19850306/1200	0.5	5.1	1.1	0.9
19850307/1200	0.7	8.4	-1.8	-3.1
19850308/1200	2.4	10	0.9	0.8
19850309/1200	0.3	1.4	0.8	-0.3
19850310/1200	3.4	7.4	-2.5	-3.3
19850311/1200	3.6	2.7	-7.9	-8.9
19850312/1200	0.5	0	-15.4	-16.5
19850313/1200	0	0	-14.8	-16.8
19850314/1200	0	0.1	-20.9	-20.9
19850315/1200	0	0	-22.8	-20.8
19850316/1200	0	0	-21.8	-17.6
19850317/1200	0.1	0	-9.3	-10.4
19850318/1200	5.2	1.3	-11.9	-11.1
19850319/1200	0.1	0.1	-10.6	-10.6
19850320/1200	3.6	4.9	-7.8	-8.4
19850321/1200	3.8	0.7	-11.3	-10.7
19850322/1200	0.2	0.1	-13.8	-13.7
19850323/1200	0.2	0	-18.1	-17.7
19850324/1200	0.1	0	-20.9	-20.6
19850325/1200	0.2	0	-23.1	-23.8
19850326/1200	0	0	-25.6	-25.4
19850327/1200	0	0	-22.3	-18.8
19850328/1200	0	0	-17	-13.6
19850329/1200	0	0	-21.9	-19
19850330/1200	0	0	-18.1	-18.9
19850331/1200	0	0	-15.4	-11.6
19850401/1200	0	0.3	-13.7	-10.1
19850402/1200	0	0.6	-13.7	-11.5
19850403/1200	0	0.5	-13.8	-11.4
19850404/1200	0.9	0.2	-15.7	-13.2
19850405/1200	0.1	1	-8.7	-7.4
19850406/1200	5.8	2.6	-10.8	-13.9
19850407/1200	2.8	0	-12.5	-12.7
19850408/1200	0	0	-17.9	-13
19850409/1200	0	0	-18.2	-14.4
19850410/1200	0	0	-17.5	-14.2
19850411/1200	0.1	0.1	-18.3	-15.8
19850412/1200	0	0	-18.2	-15.1
19850413/1200	0	0	-15.2	-13.9
19850414/1200	0	0	-17.2	-14.4
19850415/1200	0	0	-19.7	-15.3
19850416/1200	0	0	-18.4	-14.7
19850417/1200	0	0	-16.6	-14.7
19850418/1200	0	0	-16.7	-12.7
19850419/1200	0.1	0.6	-10.1	-6.7
19850420/1200	0.2	10.5	-4.1	-3.8
19850421/1200	3.6	2.9	-9.6	-9.3
19850422/1200	0	0	-9.9	-10.8
19850423/1200	0	0	-16.3	-15.2
19850424/1200	0	0	-18.1	-16.7
19850425/1200	0	0	-16.7	-14.9
19850426/1200	0	0	-11	-11.6
19850427/1200	0	0	-8.7	-7.5
19850428/1200	0	0	-5.3	-7.1
19850429/1200	0	0.1	-3.6	-5
19850430/1200	0.4	0.2	-5.8	-6.7
19850501/1200	0.7	0.1	-6.9	-6.6
19850502/1200	0.2	0.7	-1.7	-0.2
19850503/1200	5.7	13.5	-4.2	-6.8
19850504/1200	0	0.7	-5.1	-3.8
19850505/1200	0.5	0	-8.9	-9.8
19850506/1200	0	0	-7.9	-7.3
19850507/1200	0.1	0	-3.9	-1.7
19850508/1200	0.1	0	-1.9	-3.5
19850509/1200	0.9	0	-2.7	-0.5
19850510/1200	1.6	2.1	0.2	1.5
19850511/1200	3.2	2.3	-0.2	0.3
19850512/1200	0.1	0	-0.8	0.4
19850513/1200	0.3	0	0.2	-0.9
19850514/1200	0	0	-2	-2.8
19850515/1200	0	0	-3	-2.4
19850516/1200	0	0	-4.5	-4.7
19850517/1200	0	0	-5.2	-3.7
19850518/1200	0.1	0.7	-2.6	-1.7
19850519/1200	0.1	0	-5.2	-4.4
19850520/1200	0.1	0	-6.6	-4.8
19850521/1200	0	0	-7.2	-5.9
19850522/1200	0	0	-7.4	-6
19850523/1200	0	0	-5.8	-4
19850524/1200	0	0	-5.3	-3.6
19850525/1200	0	0	-4.8	-2.5
19850526/1200	0	0	-2.8	-1.9
19850527/1200	0.1	0	-4	-2.9
19850528/1200	0	0	-3.6	-1.8
19850529/1200	0	0	-2.2	-1.6
19850530/1200	0	0	-1	-0.6
19850531/1200	0	0	0.4	0.8
19850601/1200	0	0	0.5	0.9
19850602/1200	0.1	0	0	2
19850603/1200	0	0	0.4	1.2
19850604/1200	0	0	-0.5	0.8
19850605/1200	0	0	0.5	1.9
19850606/1200	0	0	0.4	2.4
19850607/1200	0	0	1.3	0.6
19850608/1200	0.9	1.3	0.4	0.6
19850609/1200	0	0	1.4	1.1
19850610/1200	0	0	2.1	3.2
19850611/1200	0	0	2.8	3.3
19850612/1200	0	0	1.6	2.4
19850613/1200	0.1	0	1.7	0.2
19850614/1200	0	0	3.1	3.2
19850615/1200	0	0	3.8	1.7
19850616/1200	0.3	0.5	2.7	1.7
19850617/1200	0	0.3	3.5	2.9
19850618/1200	0	0.4	3.6	2.8
19850619/1200	0	0	3.4	4.2
19850620/1200	1.2	5.5	4.3	4.1
19850621/1200	0.5	0	4.1	4
19850622/1200	0	0	4.6	3.7
19850623/1200	0	0	5.7	3.9
19850624/1200	0.1	0	5	4.1
19850625/1200	0	0	3.9	2.4
19850626/1200	0.9	4.3	3.3	2.5
19850627/1200	0	0	5.1	1.8
19850628/1200	0	0	6.2	5
19850629/1200	0	0	9	6.8
19850630/1200	0	0	9.8	7.4
19850701/1200	0	0	7.1	7.1
19850702/1200	0	0	4.7	4.2
19850703/1200	0	0.1	4.1	4.2
19850704/1200	0	0.3	4.5	4.1
19850705/1200	0	0	5.1	5.8
19850706/1200	0	0	4.5	7.1
19850707/1200	0.2	0	7	7.8
19850708/1200	3.1	0.8	5.3	5.8
19850709/1200	0	0	4.6	4.8
19850710/1200	0	0.3	6.1	5.4
19850711/1200	0.4	0.5	5.9	5.6
19850712/1200	0.1	0	5.7	7.3
19850713/1200	0	0	6.7	6.9
19850714/1200	0	0	9.2	8.3
19850715/1200	0	0	8	5.5
19850716/1200	0	0	7.4	5.8
19850717/1200	0.6	0	6	5.6
19850718/1200	1.9	0.3	5.8	5.6
19850719/1200	0	0.1	8	7.2
19850720/1200	0	0	9.5	7.6
19850721/1200	0	0	9	7.4
19850722/1200	0	0	8.8	6.7
19850723/1200	0	0	11.5	9.6
19850724/1200	0.8	1.4	8.7	6.5
19850725/1200	0	0	11	8.2
19850726/1200	0	0	12.7	8.9
19850727/1200	0	0	9.2	7.4
19850728/1200	0	0	7.1	5.4
19850729/1200	7.9	5.6	6.5	4.7
19850730/1200	0	0	4.4	5.2
19850731/1200	0	0	6.1	3.8
19850801/1200	0	0	6.9	5.1
19850802/1200	0	0	8.7	6.6
19850803/1200	0	0	9.3	5.9
19850804/1200	0	0	10.9	4.7
19850805/1200	0	0	9.1	5
19850806/1200	0	0	5.6	6.1
19850807/1200	0	0	6.6	6.1
19850808/1200	0	0	6.2	3.8
19850809/1200	0	0	5.1	4.1
19850810/1200	0	2	5.5	4.7
19850811/1200	0	0.8	6.3	6.8
19850812/1200	2.7	2.1	7	6
19850813/1200	0	0	5.7	3.3
19850814/1200	3.3	3.8	9.3	5.1
19850815/1200	0.1	0	7.1	4.8
19850816/1200	1.3	1.9	3.6	3.6
19850817/1200	0.4	1.4	3.7	4
19850818/1200	0.1	0	2.2	3.2
19850819/1200	0	0	3	2.9
19850820/1200	0	0	2.8	2.6
19850821/1200	0	0	3.6	2.4
19850822/1200	0.2	1	2.1	1.1
19850823/1200	0	0	1.8	2.2
19850824/1200	0	0	1.3	1.9
19850825/1200	0	0	2.2	2.6
19850826/1200	0	0	1.7	2.9
19850827/1200	0	0	1.1	1.5
19850828/1200	0	0	1	1.2
19850829/1200	0	0	1.7	1.2
19850830/1200	0	0	2.7	3
19850831/1200	0	0	2.1	1.1
19850901/1200	0.7	0.1	0.2	0.8
19850902/1200	1.5	0.8	2.8	3.5
19850903/1200	0.1	0	2.5	3.6
19850904/1200	0	0	1.8	2.4
19850905/1200	0.1	0	1.3	1.5
19850906/1200	0	0	1.6	2.1
19850907/1200	0	0	1.4	0.4
19850908/1200	0	0.2	1	0.3
19850909/1200	0	0	1.7	1.4
19850910/1200	10.4	1.6	1	0.6
19850911/1200	0.5	3.2	2.1	2.6
19850912/1200	0	3.5	1.4	2.9
19850913/1200	0	0	1.7	1.7
19850914/1200	0.1	0	1.9	3.8
19850915/1200	1.3	1.1	1.9	2.9
19850916/1200	0.7	0	2.8	3.3
19850917/1200	0.2	0.2	3.6	3.4
19850918/1200	0.1	0	1.1	1.1
19850919/1200	0	0	1	1.3
19850920/1200	0	0	0.9	0.6
19850921/1200	0	0	0.4	-0.1
19850922/1200	0	0	-0.2	-1
19850923/1200	0	0	0.7	-0.2
19850924/1200	0	0	1.8	2
19850925/1200	0	0	-1.3	-0.8
19850926/1200	0	0	-2.5	-2
19850927/1200	0.3	0	-5.4	-3.6
19850928/1200	0	0	-6.2	-3.5
19850929/1200	0	0	-5.6	-4.5
19850930/1200	0.1	0.1	-1	0.1
19851001/1200	3.1	5.7	1.4	-0.8
19851002/1200	0.1	0	2	-1
19851003/1200	0.3	0	-0.8	-3.5
19851004/1200	0	0	-6	-7
19851005/1200	0	0	-8.8	-7.2
19851006/1200	0	0	-5.2	-7.1
19851007/1200	0	0	-2.5	-4.3
19851008/1200	0	1.5	2.1	1.7
19851009/1200	3.1	1.1	-0.2	-2.9
19851010/1200	0	0	-1.4	-2
19851011/1200	0.2	3.3	-6	-5.8
19851012/1200	1.6	4.7	-5	-6
19851013/1200	1.3	0.6	-5.7	-6
19851014/1200	0.4	0	-4.9	-6.6
19851015/1200	1.2	0.6	-6.7	-8.8
19851016/1200	5.4	0	-8.1	-9.5
19851017/1200	0.5	0	-10	-11.3
19851018/1200	0	0	-6.6	-6.8
19851019/1200	0	0	-7.4	-9.6
19851020/1200	0	0	-11.6	-10.4
19851021/1200	0	0	-10.7	-11.1
19851022/1200	0.1	2.3	-6.3	-5.9
19851023/1200	0.7	0	-8.4	-6.9
19851024/1200	0.5	0	-10.7	-9.1
19851025/1200	0	0	-10.9	-11.4
19851026/1200	0	0	-12.2	-15.6
19851027/1200	0.1	0	-11.4	-13.6
19851028/1200	0.1	0	-13.5	-13.9
19851029/1200	0	0	-11.7	-12.7
19851030/1200	0	0	-14	-13.1
19851031/1200	0.1	1.5	-5.1	-4.8
19851101/1200	0.1	2	-11.3	-10.3
19851102/1200	0	0	-12.9	-12.1
19851103/1200	0	0	-15.6	-13.2
19851104/1200	0	0	-18.1	-18.4
19851105/1200	0	0	-18.6	-14.9
19851106/1200	0	0	-18.4	-17.4
19851107/1200	0	0	-13.3	-13.5
19851108/1200	0	0	-8.6	-8.2
19851109/1200	0	0	-12.6	-9.9
19851110/1200	0	0	-15.9	-12.4
19851111/1200	0	0	-17	-14.1
19851112/1200	0	0	-9	-6.5
19851113/1200	1.1	2.5	-7	-9.4
19851114/1200	0.7	0.9	-2.4	-3
19851115/1200	1.6	10.3	0	-0.3
19851116/1200	2.6	7	1.6	0.1
19851117/1200	1.9	10.2	2.7	2.8
19851118/1200	1.8	5.8	0.6	0.6
19851119/1200	0.7	10.6	-2.1	-1.2
19851120/1200	0	2.3	-5.4	-4.1
19851121/1200	0.5	0.1	-5.3	-6.9
19851122/1200	0.2	0	-10.3	-8.9
19851123/1200	0.1	0	-6.9	-8.7
19851124/1200	0	0	-8.2	-6.3
19851125/1200	0	0.3	-9.7	-9.6
19851126/1200	0	0	-12	-13.8
19851127/1200	0	0	-12.7	-14
19851128/1200	0	0	-13.6	-10.5
19851129/1200	0	0	-11.3	-10.3
19851130/1200	0	0	-14.2	-11.1
19851201/1200	0	0	-14.6	-12.4
19851202/1200	0	0	-14.9	-12.2
19851203/1200	0	0	-10.8	-12.9
19851204/1200	0	0	-11.3	-14.5
19851205/1200	0	0	-13.2	-14.8
19851206/1200	0	0	-11.4	-10.1
19851207/1200	0	0	-13.8	-12.1
19851208/1200	0.1	0	-11.1	-9.5
19851209/1200	0.1	0	-15.7	-14.5
19851210/1200	0	0	-14.7	-16.4
19851211/1200	0.6	0	-16.2	-18.4
19851212/1200	0.2	0	-12	-13.5
19851213/1200	0.5	0.4	-1.5	-5.3
19851214/1200	0.2	0.5	-5.3	-3.9
19851215/1200	0	0	-10.4	-10.4
19851216/1200	0	0	-15.3	-13.5
19851217/1200	0	0	-15.3	-13.7
19851218/1200	0	0	-15.1	-14
19851219/1200	0.2	0	-11.5	-10.6
19851220/1200	0.1	0	-10.6	-9
19851221/1200	0	0	-15.3	-11.7
19851222/1200	0	0	-22.1	-17.2
19851223/1200	0.2	0	-15.5	-12
19851224/1200	0.3	0	-11.9	-9.6
19851225/1200	0	0	-12.6	-11.7
19851226/1200	0	0	-23.2	-19.9
19851227/1200	1	0	-16.5	-12
19851228/1200	1.5	0	-15.3	-11.2
19851229/1200	0.2	0	-11.9	-10.4
19851230/1200	0	0	-13.8	-8.6
19851231/1200	0	0	-13.2	-8.7
19860101/1200	0	0.5	-13.3	-8.1
19860102/1200	0.3	0.1	-16.9	-10.7
19860103/1200	0.1	0	-16.8	-15.1
19860104/1200	0	0	-20.5	-17.4
19860105/1200	0	0	-15.1	-7.1
19860106/1200	3.6	2	-13.2	-13.8
19860107/1200	1.4	0.1	-21.5	-19.8
19860108/1200	0	0	-23.1	-20.7
19860109/1200	0	0	-25.7	-22.8
19860110/1200	0	0	-22.1	-11.9
19860111/1200	0.6	1.1	-17.4	-10.3
19860112/1200	0	0	-18.3	-13.2
19860113/1200	0	0	-19.9	-13.6
19860114/1200	1.1	1.1	-20.3	-15.7
19860115/1200	0.1	0	-21.8	-18.7
19860116/1200	0	0	-18.6	-18.6
19860117/1200	0	0	-20.6	-13.9
19860118/1200	0	0	-21.2	-12.1
19860119/1200	0	0	-19	-9.7
19860120/1200	1.2	3.6	-17.2	-12.9
19860121/1200	1.5	1.3	-12	-5.9
19860122/1200	1.7	3.5	-16.2	-8.6
19860123/1200	0	1.2	-19.4	-17.8
19860124/1200	0	0	-15.2	-21.2
19860125/1200	0	0	-14.1	-17.8
19860126/1200	0.1	1.4	-11.4	-13.3
19860127/1200	3.2	3.2	2.5	-0.8
19860128/1200	7	18.7	0.2	-2.4
19860129/1200	0.1	3.4	-4.9	-7.3
19860130/1200	1.6	3.2	-11.1	-14.9
19860131/1200	2.5	3.5	-3.5	-3.6
19860201/1200	2.2	10.7	-10.6	-11.6
19860202/1200	0	0.4	-4.9	-2.6
19860203/1200	2	21.7	-3.9	-7.3
19860204/1200	9	6.5	-10.8	-11
19860205/1200	2.5	7.8	-6.3	-6.4
19860206/1200	2.5	9	-20.3	-23.2
19860207/1200	0	0.1	-27.9	-28.8
19860208/1200	0	0	-31.9	-28.8
19860209/1200	0	0	-29.7	-26.4
19860210/1200	0	0	-31.2	-28.3
19860211/1200	0	0	-32.2	-30.7
19860212/1200	0	0	-31.4	-22.9
19860213/1200	1.1	2	-5.2	0.5
19860214/1200	10.7	13.8	-14.5	-16.9
19860215/1200	0.2	0.8	-21.5	-22.9
19860216/1200	0	0	-28.1	-29.7
19860217/1200	0	0	-33.5	-29
19860218/1200	0	0	-27.6	-20.6
19860219/1200	1.8	0.4	-19.3	-19.9
19860220/1200	0	0	-29.3	-25
19860221/1200	0	1	-20.8	-22.7
19860222/1200	0	0.3	-27.3	-24.8
19860223/1200	0	0	-30.6	-21.4
19860224/1200	0	0.2	-27.2	-22.7
19860225/1200	0	0	-30.2	-25.9
19860226/1200	0	0	-29.9	-27.2
19860227/1200	0.6	1	-21.7	-17.2
19860228/1200	1.3	2.2	-23.3	-24.4
19860301/1200	0.2	0	-33.6	-36.3
19860302/1200	0	0	-36.9	-33.3
19860303/1200	0	0	-43.6	-41.2
19860304/1200	0	0	-39.7	-29.8
19860305/1200	0.8	1	-26.3	-16.1
19860306/1200	0.7	2.3	-13.7	-8.1
19860307/1200	0.2	0.1	-4.2	-6.7
19860308/1200	0.8	7.3	-23.8	-27.2
19860309/1200	2.1	1.5	-15.2	-18
19860310/1200	0.6	0.2	-6.6	-1.4
19860311/1200	1.5	11.2	1.9	0.9
19860312/1200	14.5	53	-15.4	-21.1
19860313/1200	0.3	0	-16	-12
19860314/1200	7.8	23.4	1.6	-2
19860315/1200	12	3.8	0.4	-0.5
19860316/1200	0.9	2.8	-3.3	-3.5
19860317/1200	4.8	3.2	-7.9	-10.8
19860318/1200	0.5	0.5	-4.8	-3.5
19860319/1200	0	2.2	-10	-6.7
19860320/1200	1.6	0.2	-1.9	-1.6
19860321/1200	1.1	2.3	-12.1	-11
19860322/1200	0.1	0	-1.5	-1.7
19860323/1200	3.9	0.1	-4.4	-9.3
19860324/1200	0	0.1	-15.8	-19.2
19860325/1200	0	0	-17.2	-22.7
19860326/1200	0.2	0	-14.4	-19.2
19860327/1200	0.1	0	-9.4	-15.1
19860328/1200	1	0	-8.8	-9.4
19860329/1200	0.6	0	-12.6	-12.8
19860330/1200	0	0	-22.3	-17.2
19860331/1200	0.1	0	-14.6	-14
19860401/1200	0.4	0	-14.5	-11.9
19860402/1200	0.7	0.8	-12.4	-8.9
19860403/1200	0.8	0.3	-15.3	-8.7
19860404/1200	0	1.5	-10.2	-8.9
19860405/1200	0.5	5.1	-2.7	-4.2
19860406/1200	0.9	4.1	-4.4	-6.6
19860407/1200	3.2	6.8	-18.4	-22
19860408/1200	0	0	-23.3	-24
19860409/1200	0.1	1.1	-22.8	-24.5
19860410/1200	0	0	-21.5	-23.6
19860411/1200	0	0	-19.9	-19.4
19860412/1200	0	0	-19.2	-19.1
19860413/1200	0	0.3	-14.1	-12.9
19860414/1200	0	0	-19.1	-18.4
19860415/1200	0	0	-19.5	-18.7
19860416/1200	0	0	-18.8	-19.1
19860417/1200	0	0	-18.8	-18.4
19860418/1200	0	0	-18.8	-17.7
19860419/1200	0	0	-17.3	-13.9
19860420/1200	1.2	1	-7.9	-6.5
19860421/1200	2.2	2	-3.3	-8.6
19860422/1200	0.5	3	-3.2	-8.2
19860423/1200	0.8	5.1	-12.5	-13.6
19860424/1200	0	0	-14.9	-14.8
19860425/1200	0.2	0	-12.9	-12.8
19860426/1200	0	0	-16.1	-18.4
19860427/1200	0	0	-15.5	-17.2
19860428/1200	0	0	-13.6	-13.6
19860429/1200	0	0	-14	-15.2
19860430/1200	0	0	-13.6	-14.1
19860501/1200	0	0	-13.5	-12.2
19860502/1200	0	0	-12.1	-9.8
19860503/1200	0	0	-10.5	-9.3
19860504/1200	0	0	-6.2	-4.9
19860505/1200	0.1	0.1	-5.3	-3.2
19860506/1200	0	0	-3.6	-5.5
19860507/1200	0	0	-6	-5.1
19860508/1200	0	0	-8.4	-7.2
19860509/1200	0	0	-8.2	-6.1
19860510/1200	0	0	-6.1	-6.9
19860511/1200	0	0	-2.4	-0.4
19860512/1200	2.7	0	0	1.2
19860513/1200	0.2	1.4	2.1	3.1
19860514/1200	2.1	0.2	-0.1	0.6
19860515/1200	0	0	-0.4	0.3
19860516/1200	0	0	0	-1.5
19860517/1200	0	0	-0.6	-2.3
19860518/1200	0	0	-1.3	-4
19860519/1200	0	0	-1.7	-1.5
19860520/1200	0.1	0.9	-0.2	-0.5
19860521/1200	0.1	0	0.2	0.1
19860522/1200	0.1	0	0	-0.4
19860523/1200	0	0	-0.4	-0.9
19860524/1200	0	0	-2	-0.6
19860525/1200	0	0	-2.4	-0.8
19860526/1200	0	0	-1.3	-1
19860527/1200	0	0	-3.5	-1.2
19860528/1200	0.2	0	-2.4	0
19860529/1200	0	0	-1.3	-0.1
19860530/1200	0	0	-0.7	0.1
19860531/1200	0.1	0	0.9	0.7
19860601/1200	0	0	4	3.1
19860602/1200	0	0	3.7	2.4
19860603/1200	0.1	0	3.8	2.2
19860604/1200	0.1	2.5	3.8	5.2
19860605/1200	0	0.2	2.2	2.7
19860606/1200	0	0	4.5	0.6
19860607/1200	0	0	1.5	1
19860608/1200	0	0	5.9	1.1
19860609/1200	0	0	5.2	2.5
19860610/1200	0	0	6.5	2
19860611/1200	0	0	5.1	1.7
19860612/1200	0	0	4.5	2.4
19860613/1200	0.8	0	4.3	3.3
19860614/1200	0	0	3.2	2.4
19860615/1200	1.4	1.5	3.7	3.2
19860616/1200	2.3	3.4	3.3	2.3
19860617/1200	0.8	0	2.8	1.7
19860618/1200	0	0.1	3.1	2.6
19860619/1200	0.1	0	4.6	2.4
19860620/1200	0	0	3.4	1.1
19860621/1200	0	0	2.9	1.8
19860622/1200	0	0	3	2.6
19860623/1200	0	0	3.2	2.6
19860624/1200	0.1	0	2.5	2.5
19860625/1200	0	0	2.7	2.7
19860626/1200	1.2	1	3.3	2.2
19860627/1200	2.3	3	3	1.5
19860628/1200	0	0	2.9	1.9
19860629/1200	1.1	2.5	3.3	2.9
19860630/1200	0	0	4.7	2.6
19860701/1200	0	0	5	3.8
19860702/1200	0	0	6.8	5.3
19860703/1200	0	0	6.1	5.8
19860704/1200	0	0	3.5	4.6
19860705/1200	0.3	1.7	5.3	4.3
19860706/1200	0.3	0	6.3	4.7
19860707/1200	0	0	6.4	6.1
19860708/1200	0	0	8.7	7.6
19860709/1200	0	0	7.5	7.6
19860710/1200	0.1	0	5.9	6.1
19860711/1200	0	0	5.3	5.8
19860712/1200	0.1	0.1	6.9	5.5
19860713/1200	0	3.6	5.3	6.3
19860714/1200	0	0	5.2	5.9
19860715/1200	0	0	7.7	6.4
19860716/1200	0	0	7.1	6.4
19860717/1200	1.4	0.1	6.4	6.1
19860718/1200	0.6	1	7.5	7.1
19860719/1200	1.4	1	6	6.3
19860720/1200	1.1	1.4	3.7	4.9
19860721/1200	0	0	5.1	5.2
19860722/1200	0	0	5.1	4.8
19860723/1200	0	0	6	5.8
19860724/1200	0	0	7.6	5.4
19860725/1200	0.1	0	7.6	5.2
19860726/1200	0.1	0	7.9	6.1
19860727/1200	0	0	7.1	5
19860728/1200	0	0.1	6.1	4.3
19860729/1200	1.1	1.6	9.4	8
19860730/1200	4.5	5.4	7	6
19860731/1200	0.1	0	8.1	6.5
19860801/1200	8.4	11.5	7.2	6.9
19860802/1200	0	0	6.2	6.6
19860803/1200	1.2	1	7.7	4.9
19860804/1200	3.4	2	6.2	4.6
19860805/1200	0.5	0.4	5.3	4.7
19860806/1200	0.2	0.5	3.9	3.8
19860807/1200	0.1	0	5.2	4.5
19860808/1200	0	0	6.3	5.2
19860809/1200	0	0	6.9	5.5
19860810/1200	1	0	5.5	6.3
19860811/1200	0.2	1	4.2	4.4
19860812/1200	1.2	1.4	5.6	6.1
